true_label,IPK1,IPK2,IPK3,IPK4,IPK5,SKS1,SKS2,SKS3,SKS4,SKS5,IS1,IS2,IS3,IS4,IS5
0,3.5,3.16,2.97,2.92,2.92,20,42,62,79,93,70,132.72,184.14,230.68,271.56
0,3.1,2.67,2.64,2.62,2.81,20,42,60,77,95,62,112.14,158.4,201.74,266.95
0,3.34,2.86,2.82,2.84,2.89,20,42,59,76,95,66.8,120.12,166.38,215.84,274.55
0,2.92,2.59,2.67,2.74,2.72,20,40,57,77,97,58.4,103.6,152.19,210.98,263.84
0,2.64,2.75,2.69,2.83,2.91,21,41,62,80,96,55.44,112.75,166.78,226.4,279.36
0,2.54,2.48,2.72,2.8,2.85,21,40,55,74,95,53.34,99.2,149.6,207.2,270.75
0,2.5,2.62,2.78,2.92,2.89,21,40,55,74,93,52.5,104.8,152.9,216.08,268.77
0,2.76,2.74,2.8,2.88,2.86,21,41,61,82,104,57.96,112.34,170.8,236.16,297.44
0,2.9,2.8,2.82,2.87,2.84,21,41,61,82,102,60.9,114.8,172.02,235.34,289.68
0,2.95,2.71,2.79,2.9,2.78,21,42,60,80,102,61.95,113.82,167.4,232,283.56
0,2.83,2.74,2.77,2.79,2.68,21,41,61,82,102,59.43,112.34,168.97,228.78,273.36
0,2.83,2.71,2.73,2.83,2.8,21,42,62,82,104,59.43,113.82,169.26,232.06,291.2
0,2.62,2.64,2.69,2.8,2.65,21,42,61,81,103,55.02,110.88,164.09,226.8,272.95
0,2.98,2.94,3.04,3,2.99,20,40,61,83,100,59.6,117.6,185.44,249,299
0,2.81,2.64,2.92,3.11,3.35,21,42,57,77,97,59.01,110.88,166.44,239.47,324.95
0,2.75,2.45,2.69,2.86,2.93,21,41,55,73,95,57.75,100.45,147.95,208.78,278.35
0,3.07,2.87,2.9,2.89,2.95,21,41,58,76,95,64.47,117.67,168.2,219.64,280.25
0,3.2,2.95,2.96,2.99,3.06,21,42,60,80,99,67.2,123.9,177.6,239.2,302.94
0,2.92,2.71,2.73,2.73,2.86,21,42,57,75,95,61.32,113.82,155.61,204.75,271.7
0,2.79,2.72,2.83,2.92,2.92,21,42,58,77,99,58.59,114.24,164.14,224.84,289.08
0,2.99,2.81,2.83,2.79,3.08,21,42,62,83,99,62.79,118.02,175.46,231.57,304.92
0,2.9,2.74,2.64,2.59,2.67,21,42,62,80,93,60.9,115.08,163.68,207.2,248.31
0,3.06,2.91,2.81,2.83,3.06,21,42,62,82,101,64.26,122.22,174.22,232.06,309.06
0,2.93,2.8,2.9,3.01,3.21,21,42,62,82,103,61.53,117.6,179.8,246.82,330.63
0,2.9,2.62,2.67,2.73,2.87,21,42,59,79,98,60.9,110.04,157.53,215.67,281.26
0,2.79,2.65,2.71,2.77,2.82,21,42,62,82,103,58.59,111.3,168.02,227.14,290.46
0,2.96,2.97,2.86,2.86,2.87,20,40,60,80,101,59.2,118.8,171.6,228.8,289.87
0,3.06,3.14,2.89,2.89,2.93,20,42,64,81,102,61.2,131.88,184.96,234.09,298.86
0,2.92,2.92,2.72,2.76,2.8,20,40,60,77,98,58.4,116.8,163.2,212.52,274.4
0,3.45,3.3,2.98,2.95,2.9,20,42,64,81,102,69,138.6,190.72,238.95,295.8
0,2.92,2.93,2.82,2.85,3.1,20,40,60,80,98,58.4,117.2,169.2,228,303.8
0,3.2,3.18,2.93,2.92,2.89,20,42,64,81,102,64,133.56,187.52,236.52,294.78
0,2.99,3.03,2.71,2.72,2.84,20,40,62,79,100,59.8,121.2,168.02,214.88,284
0,2.89,2.91,2.8,2.84,3.06,20,40,60,80,101,57.8,116.4,168,227.2,309.06
0,2.78,2.84,2.74,2.77,2.98,20,40,60,80,101,55.6,113.6,164.4,221.6,300.98
0,2.69,2.82,2.92,2.99,2.98,20,40,56,76,97,53.8,112.8,163.52,227.24,289.06
0,2.74,2.85,2.86,2.89,2.92,20,40,58,78,97,54.8,114,165.88,225.42,283.24
0,2.96,3.01,2.99,2.99,2.97,20,40,59,79,101,59.2,120.4,176.41,236.21,299.97
0,2.87,2.79,2.83,2.92,3.02,21,42,57,73,93,60.27,117.18,161.31,213.16,280.86
0,3.02,2.89,2.88,3,2.85,21,42,63,78,99,63.42,121.38,181.44,234,282.15
0,2.9,2.83,2.82,2.93,2.96,21,42,60,76,94,60.9,118.86,169.2,222.68,278.24
0,2.99,2.95,2.9,3.02,3.07,21,42,63,81,104,62.79,123.9,182.7,244.62,319.28
0,3.04,2.8,2.8,2.93,3.06,21,42,62,78,98,63.84,117.6,173.6,228.54,299.88
0,3.07,2.86,2.81,2.86,2.68,21,42,60,76,94,64.47,120.12,168.6,217.36,251.92
0,2.85,2.83,2.87,2.99,3.06,21,42,60,78,101,59.85,118.86,172.2,233.22,309.06
0,2.92,2.96,3,2.94,2.93,21,42,60,78,98,61.32,124.32,180,229.32,287.14
0,2.71,2.79,2.82,2.99,3.09,21,40,61,80,103,56.91,111.6,172.02,239.2,318.27
0,2.95,2.69,2.58,2.59,2.83,21,42,60,78,95,61.95,112.98,154.8,202.02,268.85
0,3.42,3.53,3.6,3.55,3.45,21,42,64,87,110,71.82,148.26,230.4,308.85,379.5
0,2.83,2.7,2.6,2.69,2.87,21,42,62,80,101,59.43,113.4,161.2,215.2,289.87
0,3.14,2.9,2.95,2.92,2.97,21,42,62,85,106,65.94,121.8,182.9,248.2,314.82
0,3.24,2.82,2.7,2.74,2.82,21,42,60,78,99,68.04,118.44,162,213.72,279.18
0,2.64,2.59,2.63,2.69,2.88,21,41,55,73,95,55.44,106.19,144.65,196.37,273.6
0,2.62,2.44,2.45,2.5,2.69,21,41,59,77,96,55.02,100.04,144.55,192.5,258.24
0,2.74,2.66,2.61,2.76,2.96,20,40,60,80,103,54.8,106.4,156.6,220.8,304.88
0,2.92,2.88,2.81,2.87,3.04,20,40,60,80,103,58.4,115.2,168.6,229.6,313.12
1,3.62,3.62,3.63,3.65,3.64,21,43,67,90,113,76.02,155.66,243.21,328.5,411.32
1,3.74,3.74,3.66,3.67,3.56,21,42,65,86,107,78.54,157.08,237.9,315.62,380.92
1,3.24,3.38,3.22,3.17,3.13,19,41,63,81,102,61.56,138.58,202.86,256.77,319.26
1,3.69,3.86,3.8,3.74,3.7,21,41,68,89,103,77.49,158.26,258.4,332.86,381.1
1,3.8,3.6,3.71,3.6,3.55,21,43,68,92,103,79.8,154.8,252.28,331.2,365.65
1,3.73,3.68,3.57,3.52,3.48,21,43,67,88,100,78.33,158.24,239.19,309.76,348
1,3.75,3.3,3.49,3.6,3.58,21,43,67,89,107,78.75,141.9,233.83,320.4,383.06
1,3.84,3.53,3.47,3.61,3.47,20,42,64,83,105,76.8,148.26,222.08,299.63,364.35
1,3.5,3.15,3.07,3.1,3.11,20,42,62,79,100,70,132.3,190.34,244.9,311
1,3.6,3.21,3.13,3.15,3.07,20,42,62,82,104,72,134.82,194.06,258.3,319.28
1,3.7,3.43,3.3,3.35,3.31,20,42,64,86,108,74,144.06,211.2,288.1,357.48
1,3.78,3.52,3.39,3.49,3.44,20,42,64,86,108,75.6,147.84,216.96,300.14,371.52
1,3.61,3.4,3.18,3.24,3.19,20,42,64,84,104,72.2,142.8,203.52,272.16,331.76
1,3.3,3.07,3.04,3.07,3.04,20,42,62,82,106,66,128.94,188.48,251.74,322.24
1,3.42,2.94,2.9,2.88,2.93,20,42,60,80,101,68.4,123.48,174,230.4,295.93
1,3.32,3.07,3.07,3.1,3.08,20,42,62,84,106,66.4,128.94,190.34,260.4,326.48
1,3.41,3.36,3.28,3.34,3.24,20,42,64,86,108,68.2,141.12,209.92,287.24,349.92
1,3.5,3.08,3.14,3.28,3.23,20,42,62,81,103,70,129.36,194.68,265.68,332.69
1,2.8,2.73,2.65,2.64,2.67,20,40,59,77,93,56,109.2,156.35,203.28,248.31
1,3.16,2.82,2.93,3,3.01,20,42,61,80,100,63.2,118.44,178.73,240,301
1,3.38,2.92,2.99,3.03,3.03,20,42,59,81,103,67.6,122.64,176.41,245.43,312.09
1,3.24,2.98,2.99,3.04,2.92,20,42,61,83,105,64.8,125.16,182.39,252.32,306.6
1,3.86,3.57,3.57,3.58,3.46,20,42,64,86,108,77.2,149.94,228.48,307.88,373.68
1,3.49,3.24,3,3.06,2.92,20,42,64,84,103,69.8,136.08,192,257.04,300.76
1,2.62,2.65,2.76,2.94,3.12,21,41,60,81,103,55.02,108.65,165.6,238.14,321.36
1,2.98,2.83,2.85,2.95,3.02,21,41,61,78,99,62.58,116.03,173.85,230.1,298.98
1,2.95,2.88,3.02,3,3.17,21,41,62,84,105,61.95,118.08,187.24,252,332.85
1,2.69,2.81,3.05,3.1,3.05,21,42,59,78,100,56.49,118.02,179.95,241.8,305
1,2.94,3.08,3.12,3.16,3.24,21,41,62,84,106,61.74,126.28,193.44,265.44,343.44
1,3.43,3.23,3.2,3.17,3.15,21,43,64,86,108,72.03,138.89,204.8,272.62,340.2
1,2.98,3.01,3.13,3.23,3.17,21,41,63,84,108,62.58,123.41,197.19,271.32,342.36
1,3.22,3.42,3.57,3.51,3.48,20,42,61,84,105,64.4,143.64,217.77,294.84,365.4
1,3.82,3.77,3.77,3.75,3.76,20,43,66,88,109,76.4,162.11,248.82,330,409.84
1,3.15,3.12,3.21,3.18,3.29,20,42,61,79,100,63,131.04,195.81,251.22,329
1,3.16,3.1,3.23,3.16,3.16,20,42,61,79,100,63.2,130.2,197.03,249.64,316
1,3.19,3.16,3.21,3.17,3.14,20,42,61,79,100,63.8,132.72,195.81,250.43,314
1,3.36,3.43,3.53,3.47,3.46,20,42,61,84,105,67.2,144.06,215.33,291.48,363.3
1,3.08,3.14,3.3,3.25,3.16,20,42,61,79,98,61.6,131.88,201.3,256.75,309.68
1,3.24,3.2,3.29,3.25,3.19,20,42,61,82,103,64.8,134.4,200.69,266.5,328.57
1,3.02,3.1,3.22,3.2,3.12,20,42,61,83,102,60.4,130.2,196.42,265.6,318.24
1,2.84,2.97,3.09,3.1,3,20,40,59,81,102,56.8,118.8,182.31,251.1,306
1,3.05,3.1,3.11,3.06,3.04,20,42,61,79,98,61,130.2,189.71,241.74,297.92
1,3.21,3.13,3.23,3.23,3.28,20,42,61,79,100,64.2,131.46,197.03,255.17,328
1,3.38,3.31,3.45,3.47,3.46,20,43,62,82,103,67.6,142.33,213.9,284.54,356.38
1,3.58,3.58,3.64,3.5,3.49,20,42,63,84,103,71.6,150.36,229.32,294,359.47
1,3.69,3.51,3.45,3.38,3.38,20,42,63,84,105,73.8,147.42,217.35,283.92,354.9
1,3.55,3.45,3.47,3.46,3.42,20,42,61,82,103,71,144.9,211.67,283.72,352.26
1,3.02,3.14,3.26,3.15,3.04,20,42,61,82,101,60.4,131.88,198.86,258.3,307.04
1,3.25,3.26,3.36,3.28,3.28,20,42,61,79,98,65,136.92,204.96,259.12,321.44
1,3.21,3.28,3.5,3.51,3.51,20,43,62,82,103,64.2,141.04,217,287.82,361.53
1,3.58,3.55,3.56,3.46,3.45,20,42,63,84,105,71.6,149.1,224.28,290.64,362.25
1,2.88,2.99,3.17,3.19,3.08,20,40,59,81,102,57.6,119.6,187.03,258.39,314.16
1,3.38,3.31,3.38,3.32,3.27,20,42,61,82,103,67.6,139.02,206.18,272.24,336.81
1,3.28,3.26,3.27,3.18,3.16,20,42,61,79,100,65.6,136.92,199.47,251.22,316
1,3.36,3.4,3.36,3.31,3.22,20,42,63,84,106,67.2,142.8,211.68,278.04,341.32
1,3.41,3.38,3.51,3.24,3.25,20,42,64,84,106,68.2,141.96,224.64,272.16,344.5
1,3.34,3.48,3.41,3.4,3.37,20,42,66,87,109,66.8,146.16,225.06,295.8,367.33
1,3.4,3.59,3.53,3.67,3.61,20,42,64,87,113,68,150.78,225.92,319.29,407.93
1,3.41,3.52,3.53,3.43,3.41,20,42,66,89,111,68.2,147.84,232.98,305.27,378.51
1,3.33,3.36,3.27,3.22,3.17,20,42,63,84,103,66.6,141.12,206.01,270.48,326.51
1,3.5,3.61,3.51,3.44,3.42,20,42,66,87,109,70,151.62,231.66,299.28,372.78
1,3.3,3.3,3.23,3.23,3.22,20,42,63,84,103,66,138.6,203.49,271.32,331.66
1,3.38,3.34,3.26,3.32,3.32,20,42,63,84,105,67.6,140.28,205.38,278.88,348.6
1,3.34,3.45,3.25,3.37,3.27,20,42,66,87,109,66.8,144.9,214.5,293.19,356.43
1,3.34,3.4,3.39,3.27,3.28,20,42,66,88,105,66.8,142.8,223.74,287.76,344.4
1,3.49,3.69,3.56,3.5,3.43,20,42,66,87,109,69.8,154.98,234.96,304.5,373.87
1,3.42,3.32,3.25,3.19,3.16,20,42,68,87,105,68.4,139.44,221,277.53,331.8
1,3.33,3.45,3.33,3.27,3.29,20,42,63,84,107,66.6,144.9,209.79,274.68,352.03
1,3.49,3.42,3.35,3.4,3.41,20,42,63,84,107,69.8,143.64,211.05,285.6,364.87
1,3.35,3.36,3.19,3.23,3.43,20,42,63,89,106,67,141.12,200.97,287.47,363.58
1,3.56,3.48,3.42,3.4,3.47,20,42,63,84,107,71.2,146.16,215.46,285.6,371.29
1,3.6,3.32,3.29,3.41,3.43,21,42,63,81,102,75.6,139.44,207.27,276.21,349.86
1,3.51,3.35,3.3,3.29,3.19,21,42,63,84,105,73.71,140.7,207.9,276.36,334.95
1,3.57,3.48,3.46,3.37,3.4,21,42,63,84,105,74.97,146.16,217.98,283.08,357
1,3.45,3.41,3.45,3.47,3.47,21,42,63,84,105,72.45,143.22,217.35,291.48,364.35
1,3.25,3.11,3.23,3.36,3.36,21,42,63,81,102,68.25,130.62,203.49,272.16,342.72
1,3.57,3.45,3.41,3.39,3.36,21,42,63,84,105,74.97,144.9,214.83,284.76,352.8
1,3.58,3.3,3.23,3.15,3.1,21,42,63,81,100,75.18,138.6,203.49,255.15,310
1,3.3,3.07,3.02,3.06,3.11,21,42,63,84,105,69.3,128.94,190.26,257.04,326.55
1,3.29,3.07,3,3,3.02,21,42,63,78,95,69.09,128.94,189,234,286.9
1,3.51,3.49,3.45,3.46,3.45,21,42,63,84,105,73.71,146.58,217.35,290.64,362.25
1,3.48,3.31,3.2,3.26,3.2,21,42,63,84,105,73.08,139.02,201.6,273.84,336
1,2.95,2.83,2.93,3.15,3.2,21,42,60,76,95,61.95,118.86,175.8,239.4,304
1,3.5,3.18,3.06,3.05,3.03,21,42,63,84,105,73.5,133.56,192.78,256.2,318.15
1,3.69,3.16,3.08,3.11,2.99,21,42,60,75,95,77.49,132.72,184.8,233.25,284.05
1,3.15,2.79,2.8,2.92,2.92,21,42,60,78,97,66.15,117.18,168,227.76,283.24
1,3.11,3.16,3.26,3.25,3.3,21,42,60,79,100,65.31,132.72,195.6,256.75,330
1,2.98,2.66,2.74,2.91,2.94,21,42,60,78,97,62.58,111.72,164.4,226.98,285.18
1,3.29,3.2,3.14,3.14,3.18,21,42,63,81,102,69.09,134.4,197.82,254.34,324.36
1,3.27,3.24,3.18,3.34,3.45,21,42,63,81,102,68.67,136.08,200.34,270.54,351.9
